procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 178592  18192 327052    0    0     0     0  443  569  1  3 96  0
 0  0      0 178592  18200 327052    0    0     0    24  442  575  2  0 97  1
 0  0      0 178592  18200 327052    0    0     0     0  438  561  4  1 95  0
 0  0      0 178592  18200 327052    0    0     0     0  434  554  1  1 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 178592  18200 327052    0    0     0     0  447  580  3  1 96  0
 0  0      0 178592  18200 327052    0    0     0     0  438  548  2  2 96  0
 0  0      0 178592  18200 327052    0    0     0     0  442  553  1  2 97  0
 0  0      0 178592  18208 327052    0    0     0    16  439  563  1  1 97  1
 0  0      0 178592  18208 327052    0    0     0     0  432  556  0  1 99  0
 0  0      0 178592  18208 327052    0    0     0     8  455  568  2  0 98  0
 0  0      0 178592  18208 327052    0    0     0     0  449  573  0  1 99  0
 0  0      0 178592  18208 327052    0    0     0     0  440  562  1  2 97  0
 0  0      0 178592  18208 327052    0    0     0     0  452  578  2  1 97  0
 0  0      0 178592  18216 327052    0    0     0    16  444  567  1  2 97  0
 0  0      0 178592  18216 327052    0    0     0     0  437  571  2  0 98  0
 0  0      0 178592  18216 327052    0    0     0     0  440  564  1  1 98  0
 0  0      0 178592  18216 327052    0    0     0     0  444  575  1  2 97  0
 0  0      0 178592  18216 327052    0    0     0     0  454  556  2  1 96  0
 0  0      0 178592  18216 327052    0    0     0     0  447  570  1  1 98  0
 2  0      0 178592  18224 327052    0    0     0    16  454  571  2  0 98  0
 0  0      0 178592  18224 327052    0    0     0     0  444  560  1  1 98  0
 0  0      0 178592  18224 327052    0    0     0     0  458  575  3  1 96  0
 0  0      0 178592  18224 327052    0    0     0     0  437  564  1  1 98  0
 0  0      0 178592  18224 327052    0    0     0     0  446  575  1  0 99  0
 0  0      0 178592  18224 327056    0    0     0     0  435  550  2  1 97  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 178468  18232 327056    0    0     0    16  450  570  2  1 96  1
 0  0      0 178468  18232 327056    0    0     0     0  439  548  3  1 96  0
 0  0      0 178468  18232 327056    0    0     0     0  450  571  3  0 97  0
 0  0      0 178468  18232 327056    0    0     0     0  454  558  5  4 91  0
 0  0      0 178468  18232 327056    0    0     0     0  440  556  1  1 97  0
 0  0      0 178468  18232 327056    0    0     0     0  451  582  1  1 98  0
 0  0      0 178468  18240 327056    0    0     0    12  445  567  0  1 98  1
 0  0      0 178468  18240 327056    0    0     0     0  454  568  1  1 98  0
 0  0      0 178468  18240 327056    0    0     0     0  451  581  1  2 97  0
 0  0      0 178468  18240 327056    0    0     0     4  444  552  2  1 97  0
 0  0      0 178468  18240 327056    0    0     0     0  446  583  2  2 96  0
 0  0      0 178468  18240 327056    0    0     0     0  454  553  4  1 95  0
